Product name,Color Grade,Color,Material,Gemstone Style,Main Stone,Side Stone,Plating,Product Dimention,Carat weight,Price(USD), Website Link,Image Link
"Amy Moissanite Earrings S925 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm","0,54 CT x 2",-51% $51.00 $105.00,https://vm.tiktok.com/ZP9jhmJabV814-LJ5tv/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5daab5609e3947c6943425e7ebc7e893~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Wavy Heart Earrings Moissanite S925 - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.5ct x 2 | 0.03ct x 12,$51.00,https://vm.tiktok.com/ZP9jhmFGELKuK-FsIeH/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/7aae7e5d7b454fec86b9d8fcaa5ddeab~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
Echidna Moissanite Earrings S925 0.3 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-3gr Size: +-4cm,0.3 CT,$71.00,https://vm.tiktok.com/ZP9jhmN41274p-FLeZ9/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/c5505d475c1541f38f49d1b336d969c0~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
Pricilla Silver Moissanite Earrings S925 - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.06ct x 3 | 0.005ct x 33,-50% $45.00 $90.00,https://vm.tiktok.com/ZP9jhmy5kxnHR-flv3Z/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b8725edc003f49219160c0091b2c671c~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Isla Vintage Moissanite Earrings S925 0.11 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,0.11 CT,-49% $38.00 $75.00,https://vm.tiktok.com/ZP9jhmHNH8rot-pGOap/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ccd38ad04de74bc08492bda33d8b3e85~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
Victoria Moissanite Earrings S925 0.5/1.0 CT - Emerald Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.5/ 1.0 CT,"0.5 : $ 71.00
1.0 : $138.00",https://vm.tiktok.com/ZP9jhmnrBxbo5-7SxG9/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e843a79e7afb404eb0dd5d736c3c47c0~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
Clear Round Earring/ Pink Round Earring/ Yellow Round Earring Moissanite Earrings S925 1.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),"Clear Round Earrings
Pink Round Earrings
Yellow Round Earrings",Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",1.0 CT,"Clear : -53% $78.00 $165.00
Pink: $65.00
Yellow : $58.00",https://vm.tiktok.com/ZP9jhudfHJJJG-kyzKZ/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/81842e23e822494a9d17c79381135cbf~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Leticia Moissanite Earrings S925 0.36 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.36 CT,$51.00,https://vm.tiktok.com/ZP9jhutqmF7jb-nfdBt/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/86c54882fe754d10991ada976796682e~tplv-fhlh96nyum-crop-webp:790:790.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Raindrops Elegant Moissanite Earrings S925 0.5 CT- Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.5 CT,$60.00,https://vm.tiktok.com/ZP9jhHdnBbgXn-QdKUM/,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5dd54d831ba64ae3b05701d762448781~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Unique Cross Moissanite Earrings S925 0.36 CT x 2 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.36 CT x 2,-50% $45.00 $90.00,https://vm.tiktok.com/ZP9jhHkdUq1wM-eflR6/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/7245fee0ab904765a49e399ac8a4d886~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Belinda Moissanite Earrings S925 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
 Volume: 2cm x 2cm x 1.5cm",0.0025 CT x52,$45.00,https://vm.tiktok.com/ZP9jhHusGTBBK-3iNNg/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/a85288349c124407a7725a26852d54de~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Celia Silver Moissanite Earrings S925 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",1.07 CTx 2,"
-51% $51.00 $105.00",https://vm.tiktok.com/ZP9jhHgFmmgBr-n2k9y/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4e0f4e49d3e14f1b86a3b11d39ee729e~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Hamsa Moissanite Earrings S925 - Round Cut - Lore Jewelry",D (Colorless stone),"Hamsa Gold
Hamsa Silver",Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.0025 CT,$58.00,https://vm.tiktok.com/ZP9jhHnaqwdM5-AShsZ/,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/1e0e9ae9677c492c9f09fffc7358ab89~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Kirani Simple Moissanite Earrings S925 0.5ct x2 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.5 CT x 2,$45.00,https://vm.tiktok.com/ZP9jh9KPCANWp-6rZkI/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5c4d412df6d94599a9addab3c65dd4cf~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
