Product name,Color Grade,COLOR,material,Gemstone Style,Main Stone,Side Stone,Plating,Product Dimention,Size,Carat weight,Price(USD),Website Link,Image Link
"Swallowtail Moissanite Ring S925 1.0 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,, Weight: +-2gr,8 & 9, 1.0 CT,-52% $65.00 $135.00,https://vm.tiktok.com/ZP9jhgQXQPK1x-cX9e4/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/030b4fdfe1124b2ba6977ca9fd62fbdf~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Halley Moissanite Ring S925 0.5/1.0/2.0 CT - Emerald Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0/2.0 CT,"0.5 : $71.00
1.0 : $105.00
2.0 : $138.00",https://vm.tiktok.com/ZP9jhgXYbMvVP-J9zQP/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6fe6e2047e9d4cf582614db5034cd1fc~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Josie Moissanite Ring S925 0.5/1.0/2.0 CT - Oval Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/ 1.0/ 2.0 CT,"0.5 : $65.00
1.0 : $85.00
2.0 : -54% $125.00 $300.00",https://vm.tiktok.com/ZP9jhgpY4hVNM-7QkgZ/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/09ac25c4c3d74bd2abddc549edd39bd0~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Adeline Oval Moissanite Ring S925 1.0 CT - Oval Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",4-6 & Adjustable ,1.0 CT,"Adjustable : -53% $91.00 $195.00
Size 4-6 : $91.00",https://vm.tiktok.com/ZP9jhgpJeaC8a-m2eKX/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ebde91b93af443489903a0ef8710b14a~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Catherine Pear Moissanite Ring Silver S925 1.0 CT - Pear Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,1.0 CT,$91.00,https://vm.tiktok.com/ZP9jhgtS8yGfL-OqvBF/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/c1a8192e45a749f69c9486aaa1910a4a~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Angel Eye Moissanite Ring S925 0.5/1.0/2.0 CT - Oval Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0/2.0 CT,"0.5 : $71.00
1.0 : $91.00
2.0 : $138.00",https://vm.tiktok.com/ZP9jhgWJMkqH6-YeSsk/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/8ec83b3368ad491391039702a8bca3d4~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Angel Eye Moissanite Ring S925 0.5/1.0/2.0 CT - Oval Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0/2.0 CT,"0.5 : $71.00
1.0 : $91.00
2.0 : $138.00",https://vm.tiktok.com/ZP9jhg7WXpPDo-kvDbU/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/8ec83b3368ad491391039702a8bca3d4~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Silver Princess Moissanite Ring S925 3.0 CT- Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,"7, 8, 9 & Adjustable",3.0 CT,$176.00,https://vm.tiktok.com/ZP9jhgWQ7voPg-lpF2s/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/2525ae5b4c4a4c77888934e363679bb1~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Edith Moissanite Ring S925 0.5/1.0 CT - Oval Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,Adjustable,0.5/1.0 CT,"0.5 : $65.00
1.0 : $85.00",https://vm.tiktok.com/ZP9jhg3fxtKEP-U0jJL/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f73d3378cb0a421f99285d93837fe087~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"New Emery Silver Moissanite Ring S925 0.5 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,Adjustable,0.5 CT,-49% $38.00 $75.00,https://vm.tiktok.com/ZP9jhgwEXQJx4-G8rBB/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/cb3a0fd218e04722a2fc2a5c4f48e390~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Hailee Moissanite Ring S925 0.5/1.0/2.0 CT - Oval Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,,0.5/1.0/2.0 CT,"0.5 : $65.00
1.0 : $85.00
2.0 : 125.00",https://vm.tiktok.com/ZP9jhgKGqaGGV-bMYca/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/3d6b3f2b36414731ae4b234677802c2c~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Wavy Luxury Moissanite Ring 1.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,"7,5 & 9",1.0 CT,$65.00,https://vm.tiktok.com/ZP9jhgoQD2mL1-tBQ7W/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5d987c0e91934b01b569401bdb6fcd05~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Quinn Wave Halo Moissanite Ring S925 1.0 /2.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",4 - 6 & Adjustable,1.0 /2.0 CT,"1.0 : $90.00
2.0 : $118.00",https://vm.tiktok.com/ZP9jhpJGoH2Lb-9cfuY/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5f64628546ff4191999dac4be3bd863d~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Star Queen Moissanite Ring S925 2.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,"7,8,9",2.0 CT,$91.00,https://vm.tiktok.com/ZP9jhpdggBbLc-boJla/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f853f50e922745efad8baeb22d284193~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Eden Flower Moissanite S925 1.0/2.0/3.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,1.0/2.0/3.0 CT,"1.0 : $78.00
2.0 : $111.00
3.0 : $145.00",https://vm.tiktok.com/ZP9jhpLjWk4s1-nPqHb/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/8dbced01f29640fca56cb247ba2aff2c~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Simply Elegant Moissanite Ring S925 2.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,"6,7,8",2.0 CT,$90.00,https://vm.tiktok.com/ZP9jhp22mm374-OEsTe/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6a19cc9f1d134d57ad1fc275bce24a02~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
